code,town,alliance.status
2,ANSONIA,Alliance
11,BLOOMFIELD,Alliance
15,BRIDGEPORT,Alliance
17,BRISTOL,Alliance
34,DANBURY,Alliance
37,DERBY,Alliance
43,EAST HARTFORD,Alliance
44,EAST HAVEN,Alliance
47,EAST WINDSOR,Alliance
62,HAMDEN,Alliance
64,HARTFORD,Alliance
69,KILLINGLY,Alliance
77,MANCHESTER,Alliance
80,MERIDEN,Alliance
83,MIDDLETOWN,Alliance
88,NAUGATUCK,Alliance
89,NEW BRITAIN,Alliance
93,NEW HAVEN,Alliance
95,NEW LONDON,Alliance
103,NORWALK,Alliance
104,NORWICH,Alliance
116,PUTNAM,Alliance
135,STAMFORD,Alliance
146,VERNON,Alliance
151,WATERBURY,Alliance
156,WEST HAVEN,Alliance
162,WINCHESTER,Alliance
163,WINDHAM,Alliance
165,WINDSOR LOCKS,Alliance
164,WINDSOR,Alliance
168,WOODBURY,Non-Alliance
1,ANDOVER,Non-Alliance
3,ASHFORD,Non-Alliance
4,AVON,Non-Alliance
5,BARKHAMSTED,Non-Alliance
6,BEACON FALLS,Non-Alliance
7,BERLIN,Non-Alliance
8,BETHANY,Non-Alliance
9,BETHEL,Non-Alliance
10,BETHLEHEM,Non-Alliance
12,BOLTON,Non-Alliance
13,BOZRAH,Non-Alliance
14,BRANFORD,Non-Alliance
16,BRIDGEWATER,Non-Alliance
18,BROOKFIELD,Non-Alliance
19,BROOKLYN,Non-Alliance
20,BURLINGTON,Non-Alliance
21,CANAAN,Non-Alliance
22,CANTERBURY,Non-Alliance
23,CANTON,Non-Alliance
24,CHAPLIN,Non-Alliance
25,CHESHIRE,Non-Alliance
26,CHESTER,Non-Alliance
27,CLINTON,Non-Alliance
28,COLCHESTER,Non-Alliance
29,COLEBROOK,Non-Alliance
30,COLUMBIA,Non-Alliance
31,CORNWALL,Non-Alliance
32,COVENTRY,Non-Alliance
33,CROMWELL,Non-Alliance
35,DARIEN,Non-Alliance
36,DEEP RIVER,Non-Alliance
38,DURHAM,Non-Alliance
39,EASTFORD,Non-Alliance
40,EAST GRANBY,Non-Alliance
41,EAST HADDAM,Non-Alliance
42,EAST HAMPTON,Non-Alliance
45,EAST LYME,Non-Alliance
46,EASTON,Non-Alliance
48,ELLINGTON,Non-Alliance
49,ENFIELD,Non-Alliance
50,ESSEX,Non-Alliance
51,FAIRFIELD,Non-Alliance
52,FARMINGTON,Non-Alliance
53,FRANKLIN,Non-Alliance
54,GLASTONBURY,Non-Alliance
55,GOSHEN,Non-Alliance
56,GRANBY,Non-Alliance
57,GREENWICH,Non-Alliance
58,GRISWOLD,Non-Alliance
59,GROTON,Non-Alliance
60,GUILFORD,Non-Alliance
61,HADDAM,Non-Alliance
63,HAMPTON,Non-Alliance
65,HARTLAND,Non-Alliance
66,HARWINTON,Non-Alliance
67,HEBRON,Non-Alliance
68,KENT,Non-Alliance
70,KILLINGWORTH,Non-Alliance
71,LEBANON,Non-Alliance
72,LEDYARD,Non-Alliance
73,LISBON,Non-Alliance
74,LITCHFIELD,Non-Alliance
75,LYME,Non-Alliance
76,MADISON,Non-Alliance
78,MANSFIELD,Non-Alliance
79,MARLBOROUGH,Non-Alliance
81,MIDDLEBURY,Non-Alliance
82,MIDDLEFIELD,Non-Alliance
84,MILFORD,Non-Alliance
85,MONROE,Non-Alliance
86,MONTVILLE,Non-Alliance
87,MORRIS,Non-Alliance
90,NEW CANAAN,Non-Alliance
91,NEW FAIRFIELD,Non-Alliance
92,NEW HARTFORD,Non-Alliance
94,NEWINGTON,Non-Alliance
96,NEW MILFORD,Non-Alliance
97,NEWTOWN,Non-Alliance
98,NORFOLK,Non-Alliance
99,NORTH BRANFORD,Non-Alliance
100,NORTH CANAAN,Non-Alliance
101,NORTH HAVEN,Non-Alliance
102,NORTH STONINGTON,Non-Alliance
105,OLD LYME,Non-Alliance
106,OLD SAYBROOK,Non-Alliance
107,ORANGE,Non-Alliance
108,OXFORD,Non-Alliance
109,PLAINFIELD,Non-Alliance
110,PLAINVILLE,Non-Alliance
111,PLYMOUTH,Non-Alliance
112,POMFRET,Non-Alliance
113,PORTLAND,Non-Alliance
114,PRESTON,Non-Alliance
115,PROSPECT,Non-Alliance
117,REDDING,Non-Alliance
118,RIDGEFIELD,Non-Alliance
119,ROCKY HILL,Non-Alliance
120,ROXBURY,Non-Alliance
121,SALEM,Non-Alliance
122,SALISBURY,Non-Alliance
123,SCOTLAND,Non-Alliance
124,SEYMOUR,Non-Alliance
125,SHARON,Non-Alliance
126,SHELTON,Non-Alliance
127,SHERMAN,Non-Alliance
128,SIMSBURY,Non-Alliance
129,SOMERS,Non-Alliance
130,SOUTHBURY,Non-Alliance
131,SOUTHINGTON,Non-Alliance
132,SOUTH WINDSOR,Non-Alliance
133,SPRAGUE,Non-Alliance
134,STAFFORD,Non-Alliance
136,STERLING,Non-Alliance
137,STONINGTON,Non-Alliance
138,STRATFORD,Non-Alliance
139,SUFFIELD,Non-Alliance
140,THOMASTON,Non-Alliance
141,THOMPSON,Non-Alliance
142,TOLLAND,Non-Alliance
143,TORRINGTON,Non-Alliance
144,TRUMBULL,Non-Alliance
145,UNION,Non-Alliance
147,VOLUNTOWN,Non-Alliance
148,WALLINGFORD,Non-Alliance
149,WARREN,Non-Alliance
150,WASHINGTON,Non-Alliance
152,WATERFORD,Non-Alliance
153,WATERTOWN,Non-Alliance
154,WESTBROOK,Non-Alliance
155,WEST HARTFORD,Non-Alliance
157,WESTON,Non-Alliance
158,WESTPORT,Non-Alliance
159,WETHERSFIELD,Non-Alliance
160,WILLINGTON,Non-Alliance
161,WILTON,Non-Alliance
166,WOLCOTT,Non-Alliance
167,WOODBRIDGE,Non-Alliance
169,WOODSTOCK,Non-Alliance
