town_name,fully_funded_target,ecs_fy16,funded_pct,approps_fy16,approps_fy17
Andover,3038742,2379549,0.78,2379549,2379549
Ansonia,22264940,16548642,0.74,16548642,16548642
Ashford,4018107,3933350,0.98,3933350,3933350
Avon,1266380,1233415,0.97,1233415,1233415
Barkhamsted,2437720,1668460,0.68,1668460,1668460
Beacon Falls,5211406,4128939,0.79,4128939,4128939
Berlin,8023474,6311635,0.79,6311635,6311635
Bethany,2560162,2053378,0.8,2053378,2053378
Bethel,9013919,8261688,0.92,8261688,8261688
Bethlehem,1307335,1319337,1.01,1319337,1319337
Bloomfield,9333801,6230536,0.67,6230536,6230536
Bolton,3391740,3046046,0.9,3046046,3046046
Bozrah,1625289,1249912,0.77,1249912,1249912
Branford,6137057,1911260,0.31,2059168,2334995
Bridgeport,211305113,178900148,0.85,178900148,178900148
Bridgewater,64908,137292,2.12,137292,137292
Bristol,56870513,45348587,0.8,45348587,45348587
Brookfield,1584587,1555658,0.98,1555658,1555658
Brooklyn,8657684,7087589,0.82,7087589,7087589
Burlington,6548536,4394032,0.67,4394032,4394032
Canaan,29474,209258,7.1,209258,209258
Canterbury,4255176,4754383,1.12,4754383,4754383
Canton,5441158,3457436,0.64,3457436,3457436
Chaplin,1902175,1893763,1,1893763,1893763
Cheshire,16582513,9506203,0.57,9506203,9506203
Chester,1129400,675408,0.6,677125,680326
Clinton,5183598,6502667,1.25,6502667,6502667
Colchester,15816597,13761528,0.87,13761528,13761528
Colebrook,603586,508008,0.84,508008,508008
Columbia,3118332,2573616,0.83,2573616,2573616
Cornwall,38749,85322,2.2,85322,85322
Coventry,9868816,8935142,0.91,8935142,8935142
Cromwell,8347647,4499307,0.54,4556765,4663917
Danbury,58801145,29554523,0.5,30095298,31103769
Darien,1132163,1616006,1.43,1616006,1616006
Deep River,2176132,1720239,0.79,1720239,1720239
Derby,12008726,7905484,0.66,7905484,7905484
Durham,4362453,3993506,0.92,3993506,3993506
East Granby,2735151,1377206,0.5,1402903,1450825
East Haddam,4552303,3779206,0.83,3779206,3779206
East Hampton,8965454,7690997,0.86,7690997,7690997
East Hartford,65408995,48811203,0.75,48811203,48811203
East Haven,24392630,20004233,0.82,20004233,20004233
East Lyme,7203162,7138163,0.99,7138163,7138163
East Windsor,6287475,5789350,0.92,5789350,5789350
Eastford,1092969,1116844,1.02,1116844,1116844
Easton,358322,593868,1.66,593868,593868
Ellington,13684753,9722237,0.71,9722237,9722237
Enfield,37874167,28973638,0.76,28973638,28973638
Essex,251835,389697,1.55,389697,389697
Fairfield,2449127,3590008,1.47,3590008,3590008
Farmington,1495248,1611013,1.08,1611013,1611013
Franklin,921749,948235,1.03,948235,948235
Glastonbury,14048429,6552432,0.47,6639461,6801758
Goshen,137417,218188,1.59,218188,218188
Granby,8746541,5536473,0.63,5536473,5536473
Greenwich,2097370,3418642,1.63,3418642,3418642
Griswold,12946310,10922908,0.84,10922908,10922908
Groton,22638780,25625179,1.13,25625179,25625179
Guilford,2055362,3058981,1.49,3058981,3058981
Haddam,4355470,1823044,0.42,1879334,1984308
Hamden,44779658,27018047,0.6,27018047,27018047
Hampton,1088677,1339928,1.23,1339928,1339928
Hartford,227334478,200830551,0.88,200830551,200830551
Hartland,1338751,1358660,1.01,1358660,1358660
Harwinton,3525159,2774080,0.79,2774080,2774080
Hebron,9564703,7016070,0.73,7016070,7016070
Kent,77592,167342,2.16,167342,167342
Killingly,17307188,15871254,0.92,15871254,15871254
Killingworth,2653050,2245206,0.85,2245206,2245206
Lebanon,5491277,5524550,1.01,5524550,5524550
Ledyard,14065183,12178128,0.87,12178128,12178128
Lisbon,2955382,3927193,1.33,3927193,3927193
Litchfield,1988389,1517026,0.76,1517026,1517026
Lyme,104039,145556,1.4,145556,145556
Madison,802004,1576061,1.97,1576061,1576061
Manchester,47574634,34476141,0.72,34476141,34476141
Mansfield,11390432,10186654,0.89,10186654,10186654
Marlborough,4850409,3201941,0.66,3201941,3201941
Meriden,75179523,59964898,0.8,59964898,59964898
Middlebury,1878757,738899,0.39,787843,879117
Middlefield,2668032,2142785,0.8,2142785,2142785
Middletown,32050094,19648776,0.61,19648776,19648776
Milford,29577821,11381824,0.38,11381824,11381824
Monroe,6575405,6613738,1.01,6613738,6613738
Montville,15635052,12768219,0.82,12768219,12768219
Morris,114215,657975,5.76,657975,657975
Naugatuck,36415487,30805615,0.85,30805615,30805615
New Britain,113617376,85008849,0.75,85008849,85008849
New Canaan,984034,1495604,1.52,1495604,1495604
New Fairfield,4689652,4468243,0.95,4468243,4468243
New Hartford,4312545,3187717,0.74,3187717,3187717
New Haven,180410850,154577620,0.86,154577620,154577620
New London,32675268,25677518,0.79,25677518,25677518
New Milford,14651165,12127127,0.83,12127127,12127127
Newington,20251163,13031837,0.64,13031837,13031837
Newtown,9099975,4441264,0.49,4618779,4949820
Norfolk,57614,381414,6.62,381414,381414
North Branford,9728824,8252689,0.85,8252689,8252689
North Canaan,1961169,2091790,1.07,2091790,2091790
North Haven,7849178,3393016,0.43,3566294,3889433
North Stonington,2411817,2906538,1.21,2906538,2906538
Norwalk,14754985,11275807,0.76,11275807,11275807
Norwich,44618539,36195392,0.81,36195392,36195392
Old Lyme,390006,605586,1.55,605586,605586
Old Saybrook,358049,652677,1.82,652677,652677
Orange,5200554,1185863,0.23,1314695,1554950
Oxford,5233602,4677464,0.89,4677464,4677464
Plainfield,17522426,15600016,0.89,15600016,15600016
Plainville,13208098,10405528,0.79,10405528,10405528
Plymouth,11928547,9913763,0.83,9913763,9913763
Pomfret,3495899,3136587,0.9,3136587,3136587
Portland,6930511,4394272,0.63,4394272,4394272
Preston,2929599,3077693,1.05,3077693,3077693
Prospect,6948602,5405931,0.78,5405931,5405931
Putnam,9268846,8471318,0.91,8471318,8471318
Redding,405657,687733,1.7,687733,687733
Ridgefield,1231804,2063814,1.68,2063814,2063814
Rocky Hill,8765021,3587753,0.41,3811737,4229437
Roxbury,88124,158114,1.79,158114,158114
Salem,2872625,3114216,1.08,3114216,3114216
Salisbury,95038,187266,1.97,187266,187266
Scotland,1304997,1450663,1.11,1450663,1450663
Seymour,13340239,10072953,0.76,10072953,10072953
Sharon,60947,145798,2.39,145798,145798
Shelton,12121166,5286265,0.44,5534948,5998709
Sherman,136502,244327,1.79,244327,244327
Simsbury,12172536,5633072,0.46,5797028,6102783
Somers,8707066,6024473,0.69,6024473,6024473
South Windsor,15479727,13071926,0.84,13071926,13071926
Southbury,7836635,2631384,0.34,2908677,3425790
Southington,28831075,20361334,0.71,20361334,20361334
Sprague,3119253,2641208,0.85,2641208,2641208
Stafford,11497201,9958369,0.87,9958369,9958369
Stamford,20585471,10605319,0.52,10729950,10962370
Sterling,4318760,3231103,0.75,3231103,3231103
Stonington,589614,2079926,3.53,2079926,2079926
Stratford,37085434,21391105,0.58,21391105,21391105
Suffield,10797943,6267018,0.58,6267018,6267018
Thomaston,7089108,5737258,0.81,5737258,5737258
Thompson,8108320,7682218,0.95,7682218,7682218
Tolland,12889528,10902485,0.85,10902485,10902485
Torrington,33478355,24565539,0.73,24565539,24565539
Trumbull,8770545,3310992,0.38,3420490,3624688
Union,243920,241791,0.99,241791,241791
Vernon,27449311,19650126,0.72,19650126,19650126
Voluntown,2401411,2550166,1.06,2550166,2550166
Wallingford,24550209,21769831,0.89,21769831,21769831
Warren,58723,99777,1.7,99777,99777
Washington,123953,240147,1.94,240147,240147
Waterbury,180175738,132732623,0.74,132732623,132732623
Waterford,732531,1485842,2.03,1485842,1485842
Watertown,15399382,11951602,0.78,11951602,11951602
West Hartford,55057970,18181174,0.33,18898735,20236889
West Haven,60630882,45496942,0.75,45496942,45496942
Westbrook,213003,427677,2.01,427677,427677
Weston,559631,948564,1.69,948564,948564
Westport,1341144,1988255,1.48,1988255,1988255
Wethersfield,19469164,8518846,0.44,8791609,9300276
Willington,4166031,3718418,0.89,3718418,3718418
Wilton,995712,1557195,1.56,1557195,1557195
Winchester,8279000,8187980,0.99,8187980,8187980
Windham,32966208,26753954,0.81,26753954,26753954
Windsor,16110784,12476044,0.77,12476044,12476044
Windsor Locks,6932890,5274785,0.76,5274785,5274785
Wolcott,14276403,13696541,0.96,13696541,13696541
Woodbridge,1361313,732889,0.54,732889,732889
Woodbury,3291559,942926,0.29,1059115,1275793
Woodstock,5995275,5463651,0.91,5463651,5463651
