town_name,fully_funded_target,ecs_fy16,funded_pct
Andover,3038742,2379549,0.78
Ansonia,22264940,16548642,0.74
Ashford,4018107,3933350,0.98
Avon,1266380,1233415,0.97
Barkhamsted,2437720,1668460,0.68
Beacon Falls,5211406,4128939,0.79
Berlin,8023474,6311635,0.79
Bethany,2560162,2053378,0.8
Bethel,9013919,8261688,0.92
Bethlehem,1307335,1319337,1.01
Bloomfield,9333801,6230536,0.67
Bolton,3391740,3046046,0.9
Bozrah,1625289,1249912,0.77
Branford,6137057,1911260,0.31
Bridgeport,211305113,178900148,0.85
Bridgewater,64908,137292,2.12
Bristol,56870513,45348587,0.8
Brookfield,1584587,1555658,0.98
Brooklyn,8657684,7087589,0.82
Burlington,6548536,4394032,0.67
Canaan,29474,209258,7.1
Canterbury,4255176,4754383,1.12
Canton,5441158,3457436,0.64
Chaplin,1902175,1893763,1
Cheshire,16582513,9506203,0.57
Chester,1129400,675408,0.6
Clinton,5183598,6502667,1.25
Colchester,15816597,13761528,0.87
Colebrook,603586,508008,0.84
Columbia,3118332,2573616,0.83
Cornwall,38749,85322,2.2
Coventry,9868816,8935142,0.91
Cromwell,8347647,4499307,0.54
Danbury,58801145,29554523,0.5
Darien,1132163,1616006,1.43
Deep River,2176132,1720239,0.79
Derby,12008726,7905484,0.66
Durham,4362453,3993506,0.92
East Granby,2735151,1377206,0.5
East Haddam,4552303,3779206,0.83
East Hampton,8965454,7690997,0.86
East Hartford,65408995,48811203,0.75
East Haven,24392630,20004233,0.82
East Lyme,7203162,7138163,0.99
East Windsor,6287475,5789350,0.92
Eastford,1092969,1116844,1.02
Easton,358322,593868,1.66
Ellington,13684753,9722237,0.71
Enfield,37874167,28973638,0.76
Essex,251835,389697,1.55
Fairfield,2449127,3590008,1.47
Farmington,1495248,1611013,1.08
Franklin,921749,948235,1.03
Glastonbury,14048429,6552432,0.47
Goshen,137417,218188,1.59
Granby,8746541,5536473,0.63
Greenwich,2097370,3418642,1.63
Griswold,12946310,10922908,0.84
Groton,22638780,25625179,1.13
Guilford,2055362,3058981,1.49
Haddam,4355470,1823044,0.42
Hamden,44779658,27018047,0.6
Hampton,1088677,1339928,1.23
Hartford,227334478,200830551,0.88
Hartland,1338751,1358660,1.01
Harwinton,3525159,2774080,0.79
Hebron,9564703,7016070,0.73
Kent,77592,167342,2.16
Killingly,17307188,15871254,0.92
Killingworth,2653050,2245206,0.85
Lebanon,5491277,5524550,1.01
Ledyard,14065183,12178128,0.87
Lisbon,2955382,3927193,1.33
Litchfield,1988389,1517026,0.76
Lyme,104039,145556,1.4
Madison,802004,1576061,1.97
Manchester,47574634,34476141,0.72
Mansfield,11390432,10186654,0.89
Marlborough,4850409,3201941,0.66
Meriden,75179523,59964898,0.8
Middlebury,1878757,738899,0.39
Middlefield,2668032,2142785,0.8
Middletown,32050094,19648776,0.61
Milford,29577821,11381824,0.38
Monroe,6575405,6613738,1.01
Montville,15635052,12768219,0.82
Morris,114215,657975,5.76
Naugatuck,36415487,30805615,0.85
New Britain,113617376,85008849,0.75
New Canaan,984034,1495604,1.52
New Fairfield,4689652,4468243,0.95
New Hartford,4312545,3187717,0.74
New Haven,180410850,154577620,0.86
New London,32675268,25677518,0.79
New Milford,14651165,12127127,0.83
Newington,20251163,13031837,0.64
Newtown,9099975,4441264,0.49
Norfolk,57614,381414,6.62
North Branford,9728824,8252689,0.85
North Canaan,1961169,2091790,1.07
North Haven,7849178,3393016,0.43
North Stonington,2411817,2906538,1.21
Norwalk,14754985,11275807,0.76
Norwich,44618539,36195392,0.81
Old Lyme,390006,605586,1.55
Old Saybrook,358049,652677,1.82
Orange,5200554,1185863,0.23
Oxford,5233602,4677464,0.89
Plainfield,17522426,15600016,0.89
Plainville,13208098,10405528,0.79
Plymouth,11928547,9913763,0.83
Pomfret,3495899,3136587,0.9
Portland,6930511,4394272,0.63
Preston,2929599,3077693,1.05
Prospect,6948602,5405931,0.78
Putnam,9268846,8471318,0.91
Redding,405657,687733,1.7
Ridgefield,1231804,2063814,1.68
Rocky Hill,8765021,3587753,0.41
Roxbury,88124,158114,1.79
Salem,2872625,3114216,1.08
Salisbury,95038,187266,1.97
Scotland,1304997,1450663,1.11
Seymour,13340239,10072953,0.76
Sharon,60947,145798,2.39
Shelton,12121166,5286265,0.44
Sherman,136502,244327,1.79
Simsbury,12172536,5633072,0.46
Somers,8707066,6024473,0.69
South Windsor,15479727,13071926,0.84
Southbury,7836635,2631384,0.34
Southington,28831075,20361334,0.71
Sprague,3119253,2641208,0.85
Stafford,11497201,9958369,0.87
Stamford,20585471,10605319,0.52
Sterling,4318760,3231103,0.75
Stonington,589614,2079926,3.53
Stratford,37085434,21391105,0.58
Suffield,10797943,6267018,0.58
Thomaston,7089108,5737258,0.81
Thompson,8108320,7682218,0.95
Tolland,12889528,10902485,0.85
Torrington,33478355,24565539,0.73
Trumbull,8770545,3310992,0.38
Union,243920,241791,0.99
Vernon,27449311,19650126,0.72
Voluntown,2401411,2550166,1.06
Wallingford,24550209,21769831,0.89
Warren,58723,99777,1.7
Washington,123953,240147,1.94
Waterbury,180175738,132732623,0.74
Waterford,732531,1485842,2.03
Watertown,15399382,11951602,0.78
West Hartford,55057970,18181174,0.33
West Haven,60630882,45496942,0.75
Westbrook,213003,427677,2.01
Weston,559631,948564,1.69
Westport,1341144,1988255,1.48
Wethersfield,19469164,8518846,0.44
Willington,4166031,3718418,0.89
Wilton,995712,1557195,1.56
Winchester,8279000,8187980,0.99
Windham,32966208,26753954,0.81
Windsor,16110784,12476044,0.77
Windsor Locks,6932890,5274785,0.76
Wolcott,14276403,13696541,0.96
Woodbridge,1361313,732889,0.54
Woodbury,3291559,942926,0.29
Woodstock,5995275,5463651,0.91
