town.id,town.name,ecs.fy14,ecs.target
1,ANDOVER,2370137,2634536
2,ANSONIA,16131228,21269830
3,ASHFORD,3931796,3931796
4,AVON,1247662,2730133
5,BARKHAMSTED,1660612,2279518
6,BEACON FALLS,4114273,4626697
7,BERLIN,6307095,8976411
8,BETHANY,2042361,2042361
9,BETHEL,8245289,9881662
10,BETHLEHEM,1319993,1438061
11,BLOOMFIELD,6153011,10996059
12,BOLTON,3038788,3038788
13,BOZRAH,1246600,1609317
14,BRANFORD,1916139,10977275
15,BRIDGEPORT,172884120,211445056
16,BRIDGEWATER,137292,137292
17,BRISTOL,44456428,57136815
18,BROOKFIELD,1550438,2071077
19,BROOKLYN,7066334,7851143
20,BURLINGTON,4354540,4354540
21,CANAAN,210481,331561
22,CANTERBURY,4754383,4754383
23,CANTON,3442097,5523389
24,CHAPLIN,1893247,1893247
25,CHESHIRE,9397937,11520700
26,CHESTER,674390,1531399
27,CLINTON,6508741,7110104
28,COLCHESTER,13723859,13723859
29,COLEBROOK,509325,813167
30,COLUMBIA,2566272,2827716
31,CORNWALL,85322,85322
32,COVENTRY,8918028,8918028
33,CROMWELL,4460473,8087448
34,DANBURY,28320586,62215222
35,DARIEN,1616006,1616006
36,DEEP RIVER,1723196,2843299
37,DERBY,7657265,12256662
38,DURHAM,3986743,3986743
39,EASTFORD,1116844,1116844
40,EAST GRANBY,1368304,3198016
41,EAST HADDAM,3774090,4670569
42,EAST HAMPTON,7667073,7780357
43,EAST HARTFORD,45692418,66094135
44,EAST HAVEN,19762530,24339374
45,EAST LYME,7149104,8826900
46,EASTON,593868,593868
47,EAST WINDSOR,5797268,7118446
48,ELLINGTON,9676344,12323598
49,ENFIELD,28879977,35758955
50,ESSEX,392010,620994
51,FAIRFIELD,3590008,3590008
52,FARMINGTON,1663886,6898348
53,FRANKLIN,949634,1088129
54,GLASTONBURY,6478095,12721412
55,GOSHEN,218188,218188
56,GRANBY,5491604,6874752
57,GREENWICH,3418642,3418642
58,GRISWOLD,10895704,12567524
59,GROTON,25652497,28357001
60,GUILFORD,3072093,4370216
61,HADDAM,1803414,4455551
62,HAMDEN,25791630,42692580
63,HAMPTON,1339928,1339928
64,HARTFORD,197222526,237178255
65,HARTLAND,1358660,1358660
66,HARWINTON,2766559,3384939
67,HEBRON,6969354,6969354
68,KENT,167342,167342
69,KILLINGLY,15854254,17910640
70,KILLINGWORTH,2239136,2378330
71,LEBANON,5523871,5523871
72,LEDYARD,12141501,12141501
73,LISBON,3927193,3927193
74,LITCHFIELD,1523573,3027087
75,LYME,145556,145556
76,MADISON,1576061,1576061
77,MANCHESTER,33525479,47590676
78,MANSFIELD,10167478,11302392
79,MARLBOROUGH,3172810,3284484
80,MERIDEN,57359682,73546725
81,MIDDLEBURY,728656,2156470
82,MIDDLEFIELD,2138611,2716311
83,MIDDLETOWN,19093946,33898248
84,MILFORD,11236193,29838432
85,MONROE,6592969,6592969
86,MONTVILLE,12741768,15325470
87,MORRIS,657975,657975
88,NAUGATUCK,30310776,34448809
89,NEW BRITAIN,80048055,111227872
90,NEW CANAAN,1495604,1495604
91,NEW FAIRFIELD,4454605,4766859
92,NEW HARTFORD,3179059,4363089
93,NEW HAVEN,149656058,179397731
94,NEWINGTON,12983031,21606287
95,NEW LONDON,24723107,33484979
96,NEW MILFORD,12113598,15354457
97,NEWTOWN,4370124,7513412
98,NORFOLK,381414,381414
99,NORTH BRANFORD,8236256,9287995
100,NORTH CANAAN,2096683,2605398
101,NORTH HAVEN,3363758,10086552
102,NORTH STONINGTON,2906538,2906538
103,NORWALK,12376887,27715408
104,NORWICH,34368666,43612932
105,OLD LYME,605586,605586
106,OLD SAYBROOK,652677,652677
107,ORANGE,1143378,4704513
108,OXFORD,4667270,4667270
109,PLAINFIELD,15572056,16737477
110,PLAINVILLE,10379837,13715878
111,PLYMOUTH,9885055,10699166
112,POMFRET,3134201,3550011
113,PORTLAND,4364323,6001777
114,PRESTON,3077693,3077693
115,PROSPECT,5385357,6147989
116,PUTNAM,8374255,9477119
117,REDDING,687733,687733
118,RIDGEFIELD,2063814,2063814
119,ROCKY HILL,3549967,10361643
120,ROXBURY,158114,158114
121,SALEM,3114216,3114216
122,SALISBURY,187266,187266
123,SCOTLAND,1450305,1450305
124,SEYMOUR,10032674,12862077
125,SHARON,145798,145798
126,SHELTON,5256117,16130084
127,SHERMAN,244327,244327
128,SIMSBURY,5537055,7898343
129,SOMERS,5978355,6280698
130,SOUTHBURY,2602010,10829677
131,SOUTHINGTON,20278567,28928386
132,SOUTH WINDSOR,13035170,14790047
133,SPRAGUE,2634922,2880099
134,STAFFORD,9940874,11001399
135,STAMFORD,10108649,20994501
136,STERLING,3220874,4182008
137,STONINGTON,2107559,4843232
138,STRATFORD,21259171,39769356
139,SUFFIELD,6213547,9142095
140,THOMASTON,5724357,6900293
141,THOMPSON,7676303,7863858
142,TOLLAND,10866063,10866063
143,TORRINGTON,24506534,34838772
144,TRUMBULL,3261728,9834890
145,UNION,242166,312035
146,VERNON,19080311,25952123
147,VOLUNTOWN,2550166,2550166
148,WALLINGFORD,21773779,27832445
149,WARREN,99777,99777
150,WASHINGTON,240147,240147
151,WATERBURY,124106205,178947830
152,WATERFORD,1508849,3786534
153,WATERTOWN,11912689,14479686
154,WESTBROOK,435527,1212650
155,WEST HARTFORD,17331430,50533063
156,WEST HAVEN,44386169,58831331
157,WESTON,948564,948564
158,WESTPORT,1988255,1988255
159,WETHERSFIELD,8425392,19526992
160,WILLINGTON,3715715,4260407
161,WILTON,1557195,1557195
162,WINCHESTER,8064999,8367730
163,WINDHAM,25683465,32432485
164,WINDSOR,12351001,16818179
165,WINDSOR LOCKS,5331150,9169433
166,WOLCOTT,13685912,13685912
167,WOODBRIDGE,721370,721370
168,WOODBURY,927369,4064261
169,WOODSTOCK,5459435,6028405
