town_id,town_name,fy15,rev_ecs_target
1,ANDOVER,2379549,2634536
2,ANSONIA,16548642,21269830
3,ASHFORD,3933350,3933350
4,AVON,1233415,2730133
5,BARKHAMSTED,1668460,2279518
6,BEACON FALLS,4128939,4626697
7,BERLIN,6311635,8976411
8,BETHANY,2053378,2053378
9,BETHEL,8261688,9881662
10,BETHLEHEM,1319337,1438061
11,BLOOMFIELD,6230536,10996059
12,BOLTON,3046046,3046046
13,BOZRAH,1249912,1609317
14,BRANFORD,1911260,10977275
15,BRIDGEPORT,179600148,211445056
16,BRIDGEWATER,137292,137292
17,BRISTOL,45348587,57136815
18,BROOKFIELD,1555658,2071077
19,BROOKLYN,7087589,7851143
20,BURLINGTON,4394032,4394032
21,CANAAN,209258,331561
22,CANTERBURY,4754383,4754383
23,CANTON,3457436,5523389
24,CHAPLIN,1893763,1893763
25,CHESHIRE,9506203,11520700
26,CHESTER,675408,1531399
27,CLINTON,6502667,7110104
28,COLCHESTER,13761528,13761528
29,COLEBROOK,508008,813167
30,COLUMBIA,2573616,2827716
31,CORNWALL,85322,85322
32,COVENTRY,8935142,8935142
33,CROMWELL,4499307,8087448
34,DANBURY,29554523,62215222
35,DARIEN,1616006,1616006
36,DEEP RIVER,1720239,2843299
37,DERBY,7905484,12256662
38,DURHAM,3993506,3993506
39,EASTFORD,1116844,1116844
40,EAST GRANBY,1377206,3198016
41,EAST HADDAM,3779206,4670569
42,EAST HAMPTON,7690997,7780357
43,EAST HARTFORD,48811203,66094135
44,EAST HAVEN,20004233,24339374
45,EAST LYME,7138163,8826900
46,EASTON,593868,593868
47,EAST WINDSOR,5789350,7118446
48,ELLINGTON,9722237,12323598
49,ENFIELD,28973638,35758955
50,ESSEX,389697,620994
51,FAIRFIELD,3590008,3590008
52,FARMINGTON,1611013,6898348
53,FRANKLIN,948235,1088129
54,GLASTONBURY,6552432,12721412
55,GOSHEN,218188,218188
56,GRANBY,5536473,6874752
57,GREENWICH,3418642,3418642
58,GRISWOLD,10922908,12567524
59,GROTON,25625179,28357001
60,GUILFORD,3058981,4370216
61,HADDAM,1823044,4455551
62,HAMDEN,27018047,42692580
63,HAMPTON,1339928,1339928
64,HARTFORD,200830551,237178255
65,HARTLAND,1358660,1358660
66,HARWINTON,2774080,3384939
67,HEBRON,7016070,7016070
68,KENT,167342,167342
69,KILLINGLY,15871254,17910640
70,KILLINGWORTH,2245206,2378330
71,LEBANON,5524550,5524550
72,LEDYARD,12178128,12178128
73,LISBON,3927193,3927193
74,LITCHFIELD,1517026,3027087
75,LYME,145556,145556
76,MADISON,1576061,1576061
77,MANCHESTER,34476141,47590676
78,MANSFIELD,10186654,11302392
79,MARLBOROUGH,3201941,3284484
80,MERIDEN,59964898,73546725
81,MIDDLEBURY,738899,2156470
82,MIDDLEFIELD,2142785,2716311
83,MIDDLETOWN,19648776,33898248
84,MILFORD,11381824,29838432
85,MONROE,6613738,6613738
86,MONTVILLE,12768219,15325470
87,MORRIS,657975,657975
88,NAUGATUCK,30805615,34448809
89,NEW BRITAIN,85008849,111227872
90,NEW CANAAN,1495604,1495604
91,NEW FAIRFIELD,4468243,4766859
92,NEW HARTFORD,3187717,4363089
93,NEW HAVEN,154577620,179397731
94,NEWINGTON,13031837,21606287
95,NEW LONDON,25677518,33484979
96,NEW MILFORD,12127127,15354457
97,NEWTOWN,4441264,7513412
98,NORFOLK,381414,381414
99,NORTH BRANFORD,8252689,9287995
100,NORTH CANAAN,2091790,2605398
101,NORTH HAVEN,3393016,10086552
102,NORTH STONINGTON,2906538,2906538
103,NORWALK,11275807,27715408
104,NORWICH,36195392,43612932
105,OLD LYME,605586,605586
106,OLD SAYBROOK,652677,652677
107,ORANGE,1185863,4704513
108,OXFORD,4677464,4677464
109,PLAINFIELD,15600016,16737477
110,PLAINVILLE,10405528,13715878
111,PLYMOUTH,9913763,10699166
112,POMFRET,3136587,3550011
113,PORTLAND,4394272,6001777
114,PRESTON,3077693,3077693
115,PROSPECT,5405931,6147989
116,PUTNAM,8471318,9477119
117,REDDING,687733,687733
118,RIDGEFIELD,2063814,2063814
119,ROCKY HILL,3587753,10361643
120,ROXBURY,158114,158114
121,SALEM,3114216,3114216
122,SALISBURY,187266,187266
123,SCOTLAND,1450663,1450663
124,SEYMOUR,10072953,12862077
125,SHARON,145798,145798
126,SHELTON,5286265,16130084
127,SHERMAN,244327,244327
128,SIMSBURY,5633072,7898343
129,SOMERS,6024473,6280698
130,SOUTHBURY,2631384,10829677
131,SOUTHINGTON,20361334,28928386
132,SOUTH WINDSOR,13071926,14790047
133,SPRAGUE,2641208,2880099
134,STAFFORD,9958369,11001399
135,STAMFORD,10605319,20994501
136,STERLING,3231103,4182008
137,STONINGTON,2079926,4843232
138,STRATFORD,21391105,39769356
139,SUFFIELD,6267018,9142095
140,THOMASTON,5737258,6900293
141,THOMPSON,7682218,7863858
142,TOLLAND,10902485,10902485
143,TORRINGTON,24565539,34838772
144,TRUMBULL,3310992,9834890
145,UNION,241791,312035
146,VERNON,19650126,25952123
147,VOLUNTOWN,2550166,2550166
148,WALLINGFORD,21769831,27832445
149,WARREN,99777,99777
150,WASHINGTON,240147,240147
151,WATERBURY,132732623,178947830
152,WATERFORD,1485842,3786534
153,WATERTOWN,11951602,14479686
154,WESTBROOK,427677,1212650
155,WEST HARTFORD,18181174,50533063
156,WEST HAVEN,45496942,58831331
157,WESTON,948564,948564
158,WESTPORT,1988255,1988255
159,WETHERSFIELD,8518846,19526992
160,WILLINGTON,3718418,4260407
161,WILTON,1557195,1557195
162,WINCHESTER,8187980,8367730
163,WINDHAM,26753954,32432485
164,WINDSOR,12476044,16818179
165,WINDSOR LOCKS,5274785,9169433
166,WOLCOTT,13696541,13696541
167,WOODBRIDGE,732889,732889
168,WOODBURY,942926,4064261
169,WOODSTOCK,5463651,6028405
