id,town.name
1,Bethel
2,Bridgeport
3,Brookfield
4,Danbury
5,Darien
6,Easton
7,Fairfield
8,Greenwich
9,Monroe
10,New Canaan
11,New Fairfield
12,Newtown
13,Norwalk
14,Redding
15,Ridgefield
16,Shelton
17,Sherman
18,Stamford
19,Stratford
20,Trumbull
21,Weston
22,Westport
23,Wilton
24,Bozrah
25,Colchester
26,East Lyme
27,Franklin
28,Griswold
29,Groton
30,Lebanon
31,Ledyard
32,Lisbon
33,Lyme
34,Montville
35,New London
36,North Stonington
37,Norwich
38,Old Lyme
39,Preston
40,Salem
41,Sprague
42,Stonington
43,Voluntown
44,Waterford
45,Ashford
46,Brooklyn
47,Canterbury
48,Chaplin
49,Eastford
50,Hampton
51,Killingly
52,Plainfield
53,Pomfret
54,Putnam
55,Andover
56,Bolton
57,Columbia
58,Coventry
59,Ellington
60,Hebron
61,Mansfield
62,Scotland
63,Sterling
64,Thompson
65,Windham
66,Woodstock
67,Somers
68,Stafford
69,Tolland
70,Union
71,Vernon
72,Willington
73,Avon
74,Berlin
75,Bloomfield
76,Bristol
77,Burlington
78,Canton
79,East Granby
80,East Hartford
81,East Windsor
82,Enfield
83,Farmington
84,Glastonbury
85,Granby
86,Hartford
87,Hartland
88,Manchester
89,Marlborough
90,New Britain
91,Newington
92,Plainville
93,Rocky Hill
94,Simsbury
95,Southington
96,South Windsor
97,Suffield
98,West Hartford
99,Wethersfield
100,Windsor
101,Windsor Locks
102,Chester
103,Clinton
104,Cromwell
105,Deep River
106,Durham
107,East Haddam
108,East Hampton
109,Essex
110,Haddam
111,Killingworth
112,Middlefield
113,Middletown
114,Old Saybrook
115,Portland
116,Westbrook
117,Barkhamsted
118,Bethlehem
119,Bridgewater
120,Canaan
121,Colebrook
122,Cornwall
123,Goshen
124,Harwinton
125,Kent
126,Litchfield
127,Morris
128,New Hartford
129,New Milford
130,Norfolk
131,North Canaan
132,Plymouth
133,Roxbury
134,Salisbury
135,Sharon
136,Thomaston
137,Torrington
138,Warren
139,Washington
140,Watertown
141,Winchester
142,Woodbury
143,Ansonia
144,Beacon Falls
145,Bethany
146,Branford
147,Cheshire
148,Derby
149,East Haven
150,Guilford
151,Hamden
152,Madison
153,Meriden
154,Middlebury
155,Milford
156,Naugatuck
157,New Haven
158,North Branford
159,North Haven
160,Orange
161,Oxford
162,Prospect
163,Seymour
164,Southbury
165,Wallingford
166,Waterbury
167,West Haven
168,Wolcott
169,Woodbridge
